Time (ms),ax_m_s2,ay_m_s2,az_m_s2,gx_rad_s,gy_rad_s,gz_rad_s,Voltage (V),Current (A),Pressure (Pa),Temperature (C),Altitude (m),FlightPhase
13490,0.08,-0.00,10.14,-0.024,0.017,-0.001,12.449,35.53,101300.5,27.99,2.0,CLIMBING
13500,-0.29,0.27,10.00,-0.008,0.004,0.007,12.449,35.54,101300.0,27.99,2.1,CLIMBING
13510,0.12,0.03,10.08,0.019,-0.018,-0.000,12.449,35.55,101299.5,27.99,2.1,CLIMBING
13520,-0.08,0.22,10.02,0.023,0.020,0.006,12.449,35.56,101299.0,27.99,2.2,CLIMBING
13530,0.03,0.26,10.13,0.022,0.016,0.001,12.449,35.57,101298.5,27.99,2.2,CLIMBING
13540,0.14,-0.00,9.98,-0.001,-0.000,-0.010,12.449,35.59,101298.0,27.99,2.2,CLIMBING
13550,-0.28,-0.01,10.13,0.021,0.021,-0.002,12.449,35.60,101297.5,27.99,2.3,CLIMBING
13560,0.01,0.18,10.00,0.001,-0.002,0.008,12.449,35.61,101297.0,27.98,2.3,CLIMBING
13570,-0.00,-0.22,9.87,-0.002,0.023,-0.009,12.449,35.62,101296.5,27.98,2.4,CLIMBING
13580,0.06,-0.10,9.87,-0.015,-0.017,-0.002,12.449,35.63,101296.0,27.98,2.4,CLIMBING
13590,0.09,0.04,10.15,-0.002,-0.014,0.008,12.449,35.64,101295.5,27.98,2.5,CLIMBING
13600,-0.14,-0.06,9.99,-0.003,-0.001,-0.009,12.449,35.65,101295.0,27.98,2.5,CLIMBING
13610,-0.01,0.23,9.97,0.003,0.025,0.009,12.449,35.66,101294.5,27.98,2.5,CLIMBING
13620,-0.13,-0.21,10.13,-0.020,0.002,0.007,12.449,35.67,101294.0,27.98,2.6,CLIMBING
13630,-0.27,0.18,9.92,-0.011,-0.014,-0.003,12.449,35.68,101293.5,27.98,2.6,CLIMBING
13640,-0.07,-0.29,9.88,0.001,-0.009,0.009,12.449,35.69,101293.0,27.98,2.7,CLIMBING
13650,-0.12,-0.17,10.15,0.015,-0.018,0.002,12.449,35.70,101292.5,27.98,2.7,CLIMBING
13660,0.16,0.22,10.09,0.020,-0.016,-0.004,12.448,35.72,101292.0,27.98,2.8,CLIMBING
13670,-0.04,-0.17,9.89,0.018,0.005,-0.001,12.448,35.73,101291.4,27.98,2.8,CLIMBING
13680,-0.18,-0.24,9.89,0.025,-0.019,0.001,12.448,35.74,101290.9,27.98,2.8,CLIMBING
13690,0.03,0.17,9.97,0.001,0.009,0.002,12.448,35.75,101290.4,27.98,2.9,CLIMBING
13700,0.03,0.05,9.93,-0.012,0.015,0.004,12.448,35.76,101289.9,27.98,2.9,CLIMBING
13710,0.08,-0.30,10.06,-0.007,0.010,-0.010,12.448,35.77,101289.4,27.98,3.0,CLIMBING
13720,0.00,0.17,9.93,-0.010,-0.018,0.004,12.448,35.78,101288.9,27.98,3.0,CLIMBING
13730,-0.15,-0.01,9.94,0.023,0.020,0.010,12.448,35.79,101288.4,27.98,3.1,CLIMBING
13740,-0.13,0.28,9.99,0.005,-0.001,0.006,12.448,35.80,101287.9,27.98,3.1,CLIMBING
13750,0.21,0.18,9.90,0.000,-0.025,0.001,12.448,35.81,101287.4,27.98,3.1,CLIMBING
13760,0.04,-0.29,10.14,0.002,0.015,0.001,12.448,35.82,101286.9,27.98,3.2,CLIMBING
13770,0.12,0.07,10.05,0.020,-0.007,0.008,12.448,35.83,101286.4,27.98,3.2,CLIMBING
13780,0.07,-0.22,10.04,-0.004,-0.016,0.005,12.448,35.84,101285.8,27.98,3.3,CLIMBING
13790,0.13,0.29,10.17,0.012,0.005,-0.006,12.448,35.86,101285.3,27.98,3.3,CLIMBING
13800,0.03,-0.29,10.03,0.004,-0.019,0.000,12.448,35.87,101284.8,27.98,3.3,CLIMBING
13810,0.26,0.02,9.92,-0.014,0.022,-0.001,12.448,35.88,101284.3,27.98,3.4,CLIMBING
13820,0.07,0.26,9.91,0.004,-0.007,0.009,12.448,35.89,101283.8,27.98,3.4,CLIMBING
13830,-0.09,-0.07,10.15,0.018,-0.013,0.002,12.448,35.90,101283.3,27.98,3.5,CLIMBING
13840,0.10,-0.14,10.02,0.011,0.021,-0.005,12.448,35.91,101282.8,27.98,3.5,CLIMBING
13850,-0.22,-0.11,10.14,-0.021,0.009,-0.003,12.447,35.92,101282.3,27.98,3.6,CLIMBING
13860,0.28,-0.29,10.15,0.019,-0.005,0.008,12.447,35.93,101281.7,27.98,3.6,CLIMBING
13870,-0.12,0.27,9.99,0.004,-0.013,0.006,12.447,35.94,101281.2,27.98,3.6,CLIMBING
13880,-0.06,0.24,9.88,0.018,-0.018,-0.001,12.447,35.95,101280.7,27.98,3.7,CLIMBING
13890,0.24,-0.24,10.00,0.023,-0.020,-0.006,12.447,35.96,101280.2,27.98,3.7,CLIMBING
13900,0.25,0.00,9.89,-0.002,-0.012,-0.004,12.447,35.98,101279.7,27.98,3.8,CLIMBING
13910,0.22,-0.06,9.93,0.017,-0.014,0.000,12.447,35.99,101279.2,27.98,3.8,CLIMBING
13920,0.22,-0.07,9.98,0.019,-0.009,-0.007,12.447,36.00,101278.6,27.97,3.9,CLIMBING
13930,0.15,-0.25,10.09,0.018,0.002,-0.006,12.447,36.01,101278.1,27.97,3.9,CLIMBING
13940,0.06,-0.03,10.07,-0.008,0.011,-0.003,12.447,36.02,101277.6,27.97,3.9,CLIMBING
13950,0.13,0.28,10.10,0.020,0.001,-0.004,12.447,36.03,101277.1,27.97,4.0,CLIMBING
13960,0.20,0.05,9.91,-0.010,0.006,-0.008,12.447,36.04,101276.6,27.97,4.0,CLIMBING
13970,0.26,0.26,10.12,-0.016,-0.000,-0.008,12.447,36.05,101276.1,27.97,4.1,CLIMBING
13980,0.08,0.15,9.97,0.023,0.001,0.003,12.447,36.06,101275.5,27.97,4.1,CLIMBING
13990,-0.19,-0.26,10.04,-0.021,0.012,-0.005,12.447,36.07,101275.0,27.97,4.2,CLIMBING
14000,-0.30,0.13,10.07,0.007,0.017,0.002,12.447,36.08,101274.5,27.97,4.2,CLIMBING
14010,0.06,-0.12,10.09,0.011,0.010,0.002,12.447,36.09,101274.0,27.97,4.3,CLIMBING
14020,0.08,0.03,10.00,-0.016,0.017,-0.010,12.447,36.10,101273.5,27.97,4.3,CLIMBING
14030,0.12,0.22,9.90,0.012,-0.004,-0.009,12.447,36.12,101272.9,27.97,4.3,CLIMBING
14040,-0.21,-0.29,10.00,0.021,0.021,0.007,12.446,36.13,101272.4,27.97,4.4,CLIMBING
14050,-0.26,-0.20,10.11,-0.010,0.017,0.003,12.446,36.14,101271.9,27.97,4.4,CLIMBING
14060,0.06,0.26,10.17,-0.004,0.013,-0.008,12.446,36.15,101271.4,27.97,4.5,CLIMBING
14070,-0.00,-0.05,10.00,0.006,-0.017,-0.006,12.446,36.16,101270.8,27.97,4.5,CLIMBING
14080,0.03,0.05,10.16,-0.015,-0.006,0.005,12.446,36.17,101270.3,27.97,4.6,CLIMBING
14090,0.24,0.20,10.17,-0.003,-0.012,-0.009,12.446,36.18,101269.8,27.97,4.6,CLIMBING
14100,-0.25,-0.22,9.99,-0.010,0.021,0.004,12.446,36.19,101269.3,27.97,4.6,CLIMBING
14110,-0.25,0.28,9.96,0.018,0.024,-0.002,12.446,36.20,101268.8,27.97,4.7,CLIMBING
14120,0.22,0.22,9.91,-0.003,-0.014,0.009,12.446,36.21,101268.2,27.97,4.7,CLIMBING
14130,0.25,-0.28,9.91,0.006,0.021,-0.004,12.446,36.22,101267.7,27.97,4.8,CLIMBING
14140,-0.07,0.30,10.01,0.017,-0.010,0.007,12.446,36.23,101267.2,27.97,4.8,CLIMBING
14150,0.05,-0.10,10.05,-0.018,0.008,0.004,12.446,36.25,101266.7,27.97,4.9,CLIMBING
14160,-0.09,0.18,10.14,0.013,-0.016,0.007,12.446,36.26,101266.1,27.97,4.9,CLIMBING
14170,-0.22,0.08,10.02,0.024,0.009,-0.006,12.446,36.27,101265.6,27.97,5.0,CLIMBING
14180,-0.18,0.01,9.93,0.004,-0.025,0.007,12.446,36.28,101265.1,27.97,5.0,CLIMBING
14190,-0.25,-0.11,10.04,0.010,-0.002,-0.000,12.446,36.29,101264.5,27.97,5.0,CLIMBING
14200,-0.06,0.03,10.15,0.000,0.004,-0.003,12.446,36.30,101264.0,27.97,5.1,CLIMBING
14210,-0.22,-0.22,10.13,0.016,-0.022,-0.003,12.446,36.31,101263.5,27.97,5.1,CLIMBING
14220,0.27,0.26,9.98,0.011,0.008,0.009,12.445,36.32,101263.0,27.97,5.2,CLIMBING
14230,0.26,-0.17,10.01,-0.017,-0.023,-0.008,12.445,36.33,101262.4,27.97,5.2,CLIMBING
14240,-0.05,-0.23,10.11,0.002,-0.017,-0.000,12.445,36.34,101261.9,27.97,5.3,CLIMBING
14250,-0.08,0.11,10.07,0.017,-0.001,0.001,12.445,36.35,101261.4,27.97,5.3,CLIMBING
14260,0.24,-0.22,9.93,-0.006,0.000,-0.007,12.445,36.37,101260.8,27.97,5.3,CLIMBING
14270,0.22,0.02,9.96,-0.011,0.024,0.003,12.445,36.38,101260.3,27.96,5.4,CLIMBING
14280,0.26,-0.26,10.00,-0.022,-0.009,-0.006,12.445,36.39,101259.8,27.96,5.4,CLIMBING
14290,-0.20,-0.03,10.06,-0.004,-0.020,0.004,12.445,36.40,101259.2,27.96,5.5,CLIMBING
14300,-0.01,0.13,9.92,0.018,-0.022,0.003,12.445,36.41,101258.7,27.96,5.5,CLIMBING
14310,0.09,0.22,10.09,0.020,0.019,0.009,12.445,36.42,101258.2,27.96,5.6,CLIMBING
14320,0.30,-0.21,10.11,-0.017,-0.000,0.007,12.445,36.43,101257.6,27.96,5.6,CLIMBING
14330,-0.01,0.01,10.09,-0.008,-0.005,0.009,12.445,36.44,101257.1,27.96,5.7,CLIMBING
14340,-0.15,-0.07,10.03,-0.008,0.018,-0.007,12.445,36.45,101256.6,27.96,5.7,CLIMBING
14350,0.18,-0.09,9.99,0.016,-0.005,-0.004,12.445,36.46,101256.0,27.96,5.7,CLIMBING
14360,0.19,-0.08,10.05,0.014,-0.017,0.000,12.445,36.47,101255.5,27.96,5.8,CLIMBING
14370,-0.29,-0.24,10.05,-0.005,0.013,-0.010,12.445,36.48,101255.0,27.96,5.8,CLIMBING
14380,0.22,0.05,9.90,0.016,0.011,0.003,12.445,36.49,101254.4,27.96,5.9,CLIMBING
14390,-0.01,-0.15,10.10,-0.016,-0.021,-0.009,12.445,36.51,101253.9,27.96,5.9,CLIMBING
14400,0.11,-0.25,10.02,-0.008,0.004,-0.008,12.445,36.52,101253.4,27.96,6.0,CLIMBING
14410,-0.28,-0.03,9.99,0.023,0.003,0.008,12.444,36.53,101252.8,27.96,6.0,CLIMBING
14420,-0.00,-0.29,10.06,-0.001,0.011,-0.003,12.444,36.54,101252.3,27.96,6.1,CLIMBING
14430,-0.26,0.04,10.00,-0.014,-0.017,-0.010,12.444,36.55,101251.8,27.96,6.1,CLIMBING
14440,-0.10,-0.09,10.18,-0.002,-0.005,-0.009,12.444,36.56,101251.2,27.96,6.1,CLIMBING
14450,0.04,-0.22,10.15,-0.005,0.002,-0.009,12.444,36.57,101250.7,27.96,6.2,CLIMBING
14460,0.08,0.27,10.16,-0.006,-0.018,-0.004,12.444,36.58,101250.1,27.96,6.2,CLIMBING
14470,-0.04,0.30,9.99,-0.006,0.020,0.006,12.444,36.59,101249.6,27.96,6.3,CLIMBING
14480,-0.07,-0.13,10.15,-0.001,0.012,0.006,12.444,36.60,101249.1,27.96,6.3,CLIMBING
14490,0.02,0.05,9.94,-0.019,-0.011,0.005,12.444,36.61,101248.5,27.96,6.4,CLIMBING
14500,-0.14,-0.03,10.17,0.006,-0.015,0.007,12.444,36.63,101248.0,27.96,6.4,CLIMBING
14510,0.01,0.07,9.91,0.006,-0.017,-0.008,12.444,36.64,101247.4,27.96,6.5,CLIMBING
14520,0.21,-0.19,9.89,0.010,-0.013,0.001,12.444,36.65,101246.9,27.96,6.5,CLIMBING
14530,0.08,-0.03,9.97,-0.012,0.003,0.006,12.444,36.66,101246.4,27.96,6.6,CLIMBING
14540,0.23,0.13,9.95,0.021,-0.010,-0.005,12.444,36.67,101245.8,27.96,6.6,CLIMBING
14550,0.00,-0.14,10.17,0.020,-0.022,0.006,12.444,36.68,101245.3,27.96,6.6,CLIMBING
14560,0.01,-0.00,9.98,0.019,0.025,-0.000,12.444,36.69,101244.7,27.96,6.7,CLIMBING
14570,-0.05,0.24,10.08,-0.016,0.019,0.007,12.444,36.70,101244.2,27.96,6.7,CLIMBING
14580,0.09,-0.25,10.04,-0.011,0.019,0.007,12.444,36.71,101243.7,27.96,6.8,CLIMBING
14590,0.21,-0.19,10.14,0.016,0.020,0.009,12.444,36.72,101243.1,27.96,6.8,CLIMBING
14600,-0.02,-0.10,10.05,0.010,0.021,0.005,12.443,36.73,101242.6,27.96,6.9,CLIMBING
14610,0.30,-0.20,10.05,0.013,-0.025,0.002,12.443,36.74,101242.0,27.96,6.9,CLIMBING
14620,0.27,-0.10,10.05,0.012,0.018,0.006,12.443,36.76,101241.5,27.95,7.0,CLIMBING
14630,0.13,0.19,9.89,-0.000,0.001,0.008,12.443,36.77,101240.9,27.95,7.0,CLIMBING
14640,-0.12,-0.06,9.94,0.015,0.016,-0.002,12.443,36.78,101240.4,27.95,7.1,CLIMBING
14650,0.07,-0.15,9.98,0.024,-0.002,-0.003,12.443,36.79,101239.8,27.95,7.1,CLIMBING
14660,-0.04,-0.02,10.12,-0.004,-0.022,-0.010,12.443,36.80,101239.3,27.95,7.1,CLIMBING
14670,0.06,-0.29,9.91,-0.017,0.018,-0.004,12.443,36.81,101238.7,27.95,7.2,CLIMBING
14680,-0.03,-0.17,10.14,-0.015,-0.001,0.004,12.443,36.82,101238.2,27.95,7.2,CLIMBING
14690,0.12,0.02,10.09,0.021,0.008,-0.003,12.443,36.83,101237.7,27.95,7.3,CLIMBING
14700,-0.16,0.03,10.06,-0.014,-0.021,-0.001,12.443,36.84,101237.1,27.95,7.3,CLIMBING
14710,0.09,0.02,10.13,-0.014,-0.020,-0.003,12.443,36.85,101236.6,27.95,7.4,CLIMBING
14720,-0.18,0.30,10.02,-0.009,0.008,-0.008,12.443,36.86,101236.0,27.95,7.4,CLIMBING
14730,-0.21,0.10,10.00,0.011,0.011,0.002,12.443,36.87,101235.5,27.95,7.5,CLIMBING
14740,0.22,-0.15,10.14,0.004,-0.018,0.001,12.443,36.88,101234.9,27.95,7.5,CLIMBING
14750,-0.13,-0.29,10.03,-0.022,0.022,0.006,12.443,36.90,101234.4,27.95,7.6,CLIMBING
14760,-0.07,-0.16,10.02,0.024,0.024,0.007,12.443,36.91,101233.8,27.95,7.6,CLIMBING
14770,0.07,0.19,10.16,-0.025,-0.021,0.009,12.443,36.92,101233.3,27.95,7.6,CLIMBING
14780,0.24,0.21,10.17,0.023,0.004,0.003,12.443,36.93,101232.7,27.95,7.7,CLIMBING
14790,-0.13,-0.14,10.11,-0.018,0.004,-0.004,12.442,36.94,101232.2,27.95,7.7,CLIMBING
14800,0.16,-0.09,10.19,-0.008,0.022,-0.007,12.442,36.95,101231.6,27.95,7.8,CLIMBING
14810,0.13,-0.15,10.15,-0.001,-0.000,-0.004,12.442,36.96,101231.1,27.95,7.8,CLIMBING
14820,-0.13,-0.22,10.02,-0.007,-0.022,-0.000,12.442,36.97,101230.5,27.95,7.9,CLIMBING
14830,-0.13,-0.07,10.05,0.021,0.015,0.003,12.442,36.98,101229.9,27.95,7.9,CLIMBING
14840,-0.26,-0.10,10.11,-0.015,-0.018,-0.008,12.442,36.99,101229.4,27.95,8.0,CLIMBING
14850,-0.17,0.06,10.13,-0.018,-0.001,-0.008,12.442,37.00,101228.8,27.95,8.0,CLIMBING
14860,0.01,0.14,10.07,-0.001,-0.013,-0.002,12.442,37.02,101228.3,27.95,8.1,CLIMBING
14870,0.10,0.08,10.08,-0.000,-0.013,-0.002,12.442,37.03,101227.7,27.95,8.1,CLIMBING
14880,0.18,-0.29,10.13,0.020,0.010,0.001,12.442,37.04,101227.2,27.95,8.2,CLIMBING
14890,0.13,0.18,9.99,-0.024,0.016,0.006,12.442,37.05,101226.6,27.95,8.2,CLIMBING
14900,0.02,-0.09,10.11,-0.006,0.015,0.004,12.442,37.06,101226.1,27.95,8.2,CLIMBING
14910,-0.14,-0.07,10.02,-0.013,0.008,0.010,12.442,37.07,101225.5,27.95,8.3,CLIMBING
14920,-0.19,-0.11,10.10,-0.022,0.021,-0.006,12.442,37.08,101224.9,27.95,8.3,CLIMBING
14930,-0.14,0.22,9.92,0.020,0.018,0.007,12.442,37.09,101224.4,27.95,8.4,CLIMBING
14940,0.07,0.03,10.17,0.020,-0.009,0.004,12.442,37.10,101223.8,27.95,8.4,CLIMBING
14950,0.26,0.26,10.09,-0.016,0.012,0.002,12.442,37.11,101223.3,27.94,8.5,CLIMBING
14960,0.14,-0.10,10.10,0.004,-0.003,0.008,12.442,37.12,101222.7,27.94,8.5,CLIMBING
14970,-0.25,-0.20,10.09,-0.001,-0.009,-0.009,12.441,37.13,101222.2,27.94,8.6,CLIMBING
14980,-0.05,-0.17,9.92,0.024,0.012,0.006,12.441,37.15,101221.6,27.94,8.6,CLIMBING
14990,-0.12,-0.20,10.04,0.024,0.017,0.004,12.441,37.16,101221.0,27.94,8.7,CLIMBING
15000,0.11,-0.20,9.97,0.016,0.001,-0.006,12.441,37.17,101220.5,27.94,8.7,CLIMBING
15010,-0.04,0.02,10.07,0.018,0.024,0.008,12.441,37.18,101219.9,27.94,8.8,CLIMBING
15020,-0.30,-0.22,10.17,-0.005,-0.020,0.008,12.441,37.19,101219.4,27.94,8.8,CLIMBING
15030,-0.15,0.19,9.93,-0.014,0.016,0.008,12.441,37.20,101218.8,27.94,8.9,CLIMBING
15040,-0.12,-0.25,9.93,0.003,-0.023,-0.007,12.441,37.21,101218.2,27.94,8.9,CLIMBING
15050,-0.29,-0.02,10.08,-0.017,-0.021,-0.007,12.441,37.22,101217.7,27.94,8.9,CLIMBING
15060,-0.09,0.19,9.95,0.024,-0.023,-0.000,12.441,37.23,101217.1,27.94,9.0,CLIMBING
15070,0.09,-0.19,10.02,0.014,-0.012,0.009,12.441,37.24,101216.5,27.94,9.0,CLIMBING
15080,-0.20,-0.11,10.12,-0.019,-0.004,-0.003,12.441,37.25,101216.0,27.94,9.1,CLIMBING
15090,-0.13,0.23,10.07,0.006,0.013,0.001,12.441,37.26,101215.4,27.94,9.1,CLIMBING
15100,-0.03,0.29,9.95,0.013,0.022,-0.007,12.441,37.27,101214.9,27.94,9.2,CLIMBING
15110,0.18,0.12,10.05,0.008,-0.001,-0.008,12.441,37.29,101214.3,27.94,9.2,CLIMBING
15120,-0.10,-0.03,9.93,0.011,-0.021,0.009,12.441,37.30,101213.7,27.94,9.3,CLIMBING
15130,0.10,0.21,9.98,-0.006,0.005,0.005,12.441,37.31,101213.2,27.94,9.3,CLIMBING
15140,0.15,-0.30,10.13,-0.002,0.011,0.005,12.441,37.32,101212.6,27.94,9.4,CLIMBING
15150,-0.03,0.17,10.11,-0.003,0.011,0.007,12.441,37.33,101212.0,27.94,9.4,CLIMBING
15160,-0.20,-0.24,10.09,0.013,0.006,-0.005,12.440,37.34,101211.5,27.94,9.5,CLIMBING
15170,0.22,0.08,10.17,0.003,0.009,0.008,12.440,37.35,101210.9,27.94,9.5,CLIMBING
15180,-0.01,-0.08,10.04,-0.000,-0.018,-0.006,12.440,37.36,101210.3,27.94,9.6,CLIMBING
15190,-0.15,0.04,10.01,-0.014,0.020,-0.009,12.440,37.37,101209.8,27.94,9.6,CLIMBING
15200,0.16,-0.12,9.94,-0.011,-0.016,-0.005,12.440,37.38,101209.2,27.94,9.7,CLIMBING
15210,0.07,-0.10,10.10,0.008,-0.017,-0.003,12.440,37.39,101208.6,27.94,9.7,CLIMBING
15220,0.20,-0.02,10.16,0.021,-0.003,0.005,12.440,37.41,101208.1,27.94,9.7,CLIMBING
15230,0.12,-0.04,10.05,-0.000,0.023,-0.003,12.440,37.42,101207.5,27.94,9.8,CLIMBING
15240,0.02,0.30,9.91,0.012,0.018,0.009,12.440,37.43,101206.9,27.94,9.8,CLIMBING
15250,-0.09,-0.14,10.17,0.021,0.008,-0.008,12.440,37.44,101206.4,27.94,9.9,CLIMBING
15260,0.05,0.11,9.95,0.016,0.021,-0.008,12.440,37.45,101205.8,27.94,9.9,CLIMBING
15270,-0.21,-0.24,10.03,0.020,-0.023,-0.003,12.440,37.46,101205.2,27.94,10.0,CLIMBING
15280,0.14,0.10,10.07,-0.009,-0.022,0.005,12.440,37.47,101204.6,27.93,10.0,CLIMBING
15290,0.08,-0.16,10.13,-0.011,0.011,0.005,12.440,37.48,101204.1,27.93,10.1,CLIMBING
15300,0.04,0.20,10.07,0.021,0.024,0.009,12.440,37.49,101203.5,27.93,10.1,CLIMBING
15310,-0.08,0.22,9.94,-0.022,0.011,-0.010,12.440,37.50,101202.9,27.93,10.2,CLIMBING
